team,season_end,xg90,xga90
Belgium,2018-07-16,1.818,1.333
Brazil,2018-07-16,2.462,0.513
Japan,2018-07-16,1.222,1.661
Panama,2018-07-16,0.799,2.411
England,2018-07-16,2.257,1.719
Senegal,2018-07-16,1.222,0.77
Poland,2018-07-16,1.066,1.235
Switzerland,2018-07-16,0.946,1.377
Serbia,2018-07-16,1.365,1.191
Sweden,2018-07-16,1.473,0.927
South Korea,2018-07-16,1.004,2.2
Mexico,2018-07-16,1.266,2.308
Germany,2018-07-16,2.108,1.194
Spain,2018-07-16,2.955,1.868
Iran,2018-07-16,0.9,1.593
Uruguay,2018-07-16,1.48,0.471
Saudi Arabia,2018-07-16,1.023,1.338
Peru,2018-07-16,0.963,1.538
France,2018-07-16,1.257,0.847
Croatia,2018-07-16,2.782,2.194
Argentina,2018-07-16,1.399,1.452
Colombia,2018-07-16,1.807,2.489
Tunisia,2018-07-16,1.662,2.885
Iceland,2018-07-16,1.572,1.356
Russia,2018-07-16,2.394,3.071
Egypt,2018-07-16,0.995,1.823
Portugal,2018-07-16,1.209,1.292
Morocco,2018-07-16,1.195,1.396
Costa Rica,2018-07-16,0.777,2.103
Denmark,2018-07-16,1.722,2.461
Nigeria,2018-07-16,1.127,1.366
Australia,2018-07-16,1.34,0.971
Canada,2022-12-19,1.31,1.236
Morocco,2022-12-19,1.24,1.29
England,2022-12-19,1.747,0.798
Iran,2022-12-19,1.277,1.257
Croatia,2022-12-19,1.881,2.149
Belgium,2022-12-19,1.231,1.411
Netherlands,2022-12-19,1.782,1.999
Ecuador,2022-12-19,1.269,0.705
Spain,2022-12-19,1.776,1.502
Japan,2022-12-19,1.846,1.953
United States,2022-12-19,0.985,1.065
Wales,2022-12-19,0.74,1.657
France,2022-12-19,2.137,1.797
Tunisia,2022-12-19,0.803,0.801
Cameroon,2022-12-19,1.022,1.848
Switzerland,2022-12-19,1.523,1.252
Portugal,2022-12-19,1.463,1.128
Ghana,2022-12-19,1.118,1.7
Senegal,2022-12-19,1.069,1.026
Saudi Arabia,2022-12-19,1.067,2.183
Poland,2022-12-19,1.166,1.676
Qatar,2022-12-19,0.469,1.257
Denmark,2022-12-19,1.064,1.154
Germany,2022-12-19,2.744,0.975
Mexico,2022-12-19,1.019,0.846
Brazil,2022-12-19,2.727,0.989
Argentina,2022-12-19,2.998,1.612
Serbia,2022-12-19,1.03,2.433
Australia,2022-12-19,0.395,1.61
Uruguay,2022-12-19,1.09,1.033
South Korea,2022-12-19,0.901,1.458
